LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,Foundation,BsmtExposure,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
65,8450,Pave,Reg,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,No,856,SBrkr,856,854,2,3,1,8,Attchd,2,548,WD,Normal,208500
80,9600,Pave,Reg,Lvl,FR2,1Fam,1Story,Gable,MetalSd,MetalSd,CBlock,Gd,1262,SBrkr,1262,0,2,3,1,6,Attchd,2,460,WD,Normal,181500
68,11250,Pave,IR1,Lvl,Inside,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Mn,920,SBrkr,920,866,2,3,1,6,Attchd,2,608,WD,Normal,223500
60,9550,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,Wd Sdng,Wd Shng,BrkTil,No,756,SBrkr,961,756,1,3,1,7,Detchd,3,642,WD,Abnorml,140000
84,14260,Pave,IR1,Lvl,FR2,1Fam,2Story,Gable,VinylSd,VinylSd,PConc,Av,1145,SBrkr,1145,1053,2,4,1,9,Attchd,3,836,WD,Normal,250000
85,14115,Pave,IR1,Lvl,Inside,1Fam,1.5Fin,Gable,VinylSd,VinylSd,Wood,No,796,SBrkr,796,566,1,1,1,5,Attchd,2,480,WD,Normal,143000
75,10084,Pave,Reg,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Av,1686,SBrkr,1694,0,2,3,1,7,Attchd,2,636,WD,Normal,307000
NA,10382,Pave,IR1,Lvl,Corner,1Fam,2Story,Gable,HdBoard,HdBoard,CBlock,Mn,1107,SBrkr,1107,983,2,3,1,7,Attchd,2,484,WD,Normal,200000
51,6120,Pave,Reg,Lvl,Inside,1Fam,1.5Fin,Gable,BrkFace,Wd Shng,BrkTil,No,952,FuseF,1022,752,2,2,2,8,Detchd,2,468,WD,Abnorml,129900
50,7420,Pave,Reg,Lvl,Corner,2fmCon,1.5Unf,Gable,MetalSd,MetalSd,BrkTil,No,991,SBrkr,1077,0,1,2,2,5,Attchd,1,205,WD,Normal,118000
70,11200,Pave,Reg,Lvl,Inside,1Fam,1Story,Hip,HdBoard,HdBoard,CBlock,No,1040,SBrkr,1040,0,1,3,1,5,Detchd,1,384,WD,Normal,129500
85,11924,Pave,IR1,Lvl,Inside,1Fam,2Story,Hip,WdShing,Wd Shng,PConc,No,1175,SBrkr,1182,1142,3,4,1,11,BuiltIn,3,736,New,Partial,345000
NA,12968,Pave,IR2,Lvl,Inside,1Fam,1Story,Hip,HdBoard,Plywood,CBlock,No,912,SBrkr,912,0,1,2,1,4,Detchd,1,352,WD,Normal,144000
91,10652,Pave,IR1,Lvl,Inside,1Fam,1Story,Gable,VinylSd,VinylSd,PConc,Av,1494,SBrkr,1494,0,2,3,1,7,Attchd,3,840,New,Partial,279500
